Row,Human,Natural,F_Human,F_Natur
1990,46,4,0.92,0.08
1991,20,0,1,0
1992,63,0,1,0
1993,71,0,1,0
1994,68,4,0.944444444444444,0.0555555555555556
1995,73,1,0.986486486486487,0.0135135135135135
1996,93,3,0.96875,0.03125
1997,60,3,0.952380952380952,0.0476190476190476
1998,43,2,0.955555555555556,0.0444444444444444
1999,61,13,0.824324324324324,0.175675675675676
2000,53,0,1,0
2001,60,0,1,0
2002,69,1,0.985714285714286,0.0142857142857143
2003,74,3,0.961038961038961,0.038961038961039
2004,85,4,0.955056179775281,0.0449438202247191
2005,61,6,0.91044776119403,0.0895522388059701
2006,52,7,0.88135593220339,0.11864406779661
2007,109,10,0.915966386554622,0.0840336134453782
2008,63,22,0.741176470588235,0.258823529411765
2009,50,2,0.961538461538462,0.0384615384615385
2010,51,3,0.944444444444444,0.0555555555555556
2011,65,7,0.902777777777778,0.0972222222222222
2012,87,10,0.896907216494845,0.103092783505155
2013,87,1,0.988636363636364,0.0113636363636364
2014,71,6,0.922077922077922,0.0779220779220779
2015,87,16,0.844660194174757,0.155339805825243
2016,110,1,0.990990990990991,0.00900900900900901
2017,191,3,0.984536082474227,0.0154639175257732
2018,159,3,0.981481481481482,0.0185185185185185
2019,76,6,0.926829268292683,0.0731707317073171
2020,144,15,0.905660377358491,0.0943396226415094
2021,123,9,0.931818181818182,0.0681818181818182
2022,99,0,1,0
2023,61,2,0.968253968253968,0.0317460317460317
2024,135,2,0.985401459854015,0.0145985401459854
