Row,Human,Natural,F_Human,F_Natur
1990,67,57,0.540322580645161,0.459677419354839
1991,48,19,0.716417910447761,0.283582089552239
1992,99,33,0.75,0.25
1993,97,4,0.96039603960396,0.0396039603960396
1994,96,48,0.666666666666667,0.333333333333333
1995,119,14,0.894736842105263,0.105263157894737
1996,156,65,0.705882352941177,0.294117647058824
1997,101,23,0.814516129032258,0.185483870967742
1998,110,8,0.932203389830508,0.0677966101694915
1999,129,71,0.645,0.355
2000,116,11,0.913385826771654,0.0866141732283465
2001,107,40,0.727891156462585,0.272108843537415
2002,146,27,0.84393063583815,0.15606936416185
2003,128,135,0.486692015209125,0.513307984790874
2004,153,34,0.818181818181818,0.181818181818182
2005,180,57,0.759493670886076,0.240506329113924
2006,137,118,0.537254901960784,0.462745098039216
2007,156,73,0.681222707423581,0.318777292576419
2008,127,227,0.358757062146893,0.641242937853107
2009,137,65,0.678217821782178,0.321782178217822
2010,108,45,0.705882352941177,0.294117647058824
2011,182,63,0.742857142857143,0.257142857142857
2012,205,49,0.807086614173228,0.192913385826772
2013,153,55,0.735576923076923,0.264423076923077
2014,91,68,0.572327044025157,0.427672955974843
2015,116,95,0.549763033175355,0.450236966824645
2016,225,25,0.9,0.1
2017,285,130,0.686746987951807,0.313253012048193
2018,217,37,0.854330708661417,0.145669291338583
2019,183,53,0.775423728813559,0.224576271186441
2020,276,69,0.8,0.2
2021,216,40,0.84375,0.15625
2022,191,16,0.922705314009662,0.0772946859903382
2023,190,31,0.85972850678733,0.14027149321267
2024,381,30,0.927007299270073,0.072992700729927
