Cutoff,Decade,Beta_Urban,Beta_Wild,Beta_Diff,CI_2_5,CI_97_5,P_Value
<100 km^2,1990s,-1.39031593220899,-1.74878352234556,0.358467590136571,0.163720651142806,0.471594773324238,0
<100 km^2,2000s,-1.30606651991601,-1.59103771133173,0.284971191415716,0.148976135930421,0.43852358867973,0
<100 km^2,2010s,-1.32099893537912,-1.52675911120957,0.205760175830457,0.0567894102616261,0.348310867107092,0.007
<100 km^2,2020s,-1.12127306224265,-1.54626509252068,0.424992030278029,0.172616389168302,0.523567853451219,0
<1000 km^2,1990s,-1.43367891775279,-1.75431951640849,0.320640598655693,0.18816396048522,0.40662445659112,0
<1000 km^2,2000s,-1.33234909028925,-1.60242821736089,0.270079127071643,0.198263145633688,0.39240378256166,0
<1000 km^2,2010s,-1.2791841680196,-1.52374643358702,0.244562265567423,0.136626296902815,0.342397795320278,0
<1000 km^2,2020s,-1.11058579354993,-1.49893721821061,0.388351424660674,0.213736946541162,0.44790494807298,0
Full size,1990s,-1.43367891775279,-1.75431951640849,0.320640598655693,0.194581089991911,0.409818627397187,0
Full size,2000s,-1.33716191127787,-1.57960567043925,0.242443759161376,0.17051037431325,0.385186099453261,0
Full size,2010s,-1.29635336418324,-1.51145484772825,0.215101483545011,0.129126391795841,0.325078091932664,0
Full size,2020s,-1.12661411446749,-1.49893721821061,0.372323103743116,0.219426338452571,0.440217707567026,0
