binCenter,probDensity
-0.675,0.549557176054983
-0.375,0.0798060950303218
-0.175,-0.782951736651253
-0.075,-0.183981732315235
0.025,-0.727679231547947
0.125,-0.605830481931591
0.175,-0.986823700973015
0.225,-0.978831753995326
0.275,-1.23295173665125
0.325,-1.13682370097301
0.375,-1.12883175399533
0.425,-1.12767923154795
0.475,-1.28682370097301
0.525,-1.22767923154795
0.575,-1.19052905582905
0.625,-1.50377049060363
0.675,-1.63295173665125
0.725,-1.60377049060363
0.775,-1.35274049493965
0.825,-1.63682370097301
0.875,-1.62883175399533
0.925,-1.88295173665125
0.975,-1.78682370097301
1.025,-1.72767923154795
1.075,-2.25480048626761
1.125,-1.87883175399533
1.175,-1.98682370097302
1.225,-2.03682370097301
1.275,-2.23295173665126
1.325,-2.07883175399533
1.375,-2.03192174098727
1.425,-2.17883175399533
1.475,-2.43295173665125
1.525,-2.40377049060363
1.575,-2.53295173665125
1.625,-2.67986174965931
1.675,-3.33192174098727
1.725,-2.60377049060363
1.775,-2.82986174965931
1.825,-2.70377049060363
1.875,-2.75377049060363
1.925,-2.97986174965931
1.975,-3.02986174965931
2.025,-2.90377049060363
2.075,-3.25480048626761
2.125,-3.08295173665125
2.175,-3.22986174965931
2.225,-3.40480048626761
2.275,-3.63089174532329
2.375,-4.03192174098727
2.425,-3.78089174532329
2.475,-3.65480048626761
2.525,-3.70480048626761
2.575,-3.93089174532329
2.625,-3.98089174532329
2.775,-4.43192174098727
2.925,-4.28089174532329
3.175,-4.83192174098727
