binCenter,probDensity
-0.675,1.09699074183505
-0.375,0.391032761147167
-0.175,-0.183284202178447
-0.075,-0.181294663641116
0.025,-0.467605087878483
0.125,-0.672340438398496
0.175,-0.786009518267873
0.225,-1.01785310621264
0.275,-0.988671860165021
0.325,-1.19357382015076
0.375,-1.36167313222876
0.425,-1.1844293507257
0.475,-1.34357382015076
0.525,-1.2844293507257
0.575,-1.56167313222876
0.625,-1.91270312789274
0.675,-1.36064313656478
0.725,-1.38431419784243
0.775,-1.81966507920645
0.825,-1.839701855829
0.875,-1.86167313222876
0.925,-2.11579311488468
0.975,-1.93534419350641
1.025,-1.96052060978138
1.075,-2.22440042972646
1.125,-2.27440042972646
1.175,-2.52069507487043
1.225,-2.57069507487042
1.275,-2.62069507487043
1.325,-2.67069507487042
1.375,-3.08867186016502
1.425,-2.57440042972646
1.475,-2.76270312789274
1.525,-3.01682311054867
1.575,-2.81155060544536
1.625,-3.11682311054867
1.675,-3.08764186450104
1.725,-3.43867186016502
1.775,-3.26682311054867
1.825,-3.7147631192207
1.875,-3.46373312355672
1.925,-3.63867186016502
2.025,-3.61373312355672
2.075,-3.56682311054866
2.175,-3.76373312355672
2.225,-4.41579311488468
2.275,-4.1647631192207
2.325,-4.03867186016502
2.375,-4.2647631192207
2.475,-4.66579311488468
2.675,-4.86579311488468
