binCenter,probDensity
0.025,-0.440533958309099
0.0750000000000001,-0.763535230372836
0.125,-0.570497181686542
0.175,-0.562505234708855
0.225,-0.862382707925453
0.275,-0.636176295986506
0.325,-0.770497181686542
0.375,-0.925232532206555
0.425,-0.937443971317155
0.475,-1.02523253220655
0.525,-0.940533958309098
0.575,-1.46765521302876
0.625,-1.31353523037284
0.675,-1.18744397131715
0.725,-1.36238270792545
0.775,-1.32523253220655
0.825,-1.57152717735052
0.875,-1.51238270792546
0.925,-1.3405339583091
0.975,-1.66353523037283
1.025,-1.66238270792546
1.075,-2.06456522603682
1.125,-1.71662521736478
1.175,-2.06765521302876
1.225,-2.21456522603682
1.275,-2.08847396698114
1.325,-1.91662521736478
1.375,-2.12152717735052
1.425,-2.53950396264512
1.475,-2.46456522603682
1.525,-2.51456522603682
1.575,-2.56456522603682
1.625,-2.61456522603682
1.675,-2.66456522603682
1.725,-2.83950396264512
1.775,-3.36662521736478
1.825,-2.93950396264512
1.875,-2.98950396264512
1.925,-2.91456522603682
1.975,-3.08950396264512
2.025,-3.13950396264512
2.075,-3.66662521736478
2.175,-3.4655952217008
2.225,-3.81662521736478
2.275,-3.86662521736478
2.325,-3.6155952217008
2.375,-3.6655952217008
2.425,-4.01662521736478
2.525,-3.8155952217008
2.625,-4.21662521736478
2.725,-4.0155952217008
