binCenter,probDensity
0.025,-0.290545501817623
0.0750000000000001,-0.46964019819708
0.125,-0.457492291448236
0.175,-0.479463567847992
0.225,-0.478311045400609
0.275,-0.528311045400611
0.325,-0.703249782008911
0.375,-0.822885710150306
0.425,-0.757492291448236
0.475,-1.00585994521507
0.525,-0.887455514825679
0.575,-1.15416462478962
0.625,-1.15585994521507
0.675,-1.28049356351197
0.725,-1.25585994521507
0.775,-1.47067019386106
0.825,-1.48848551048966
0.875,-1.50852228711222
0.925,-1.83152355917595
0.975,-1.83037103672857
1.025,-1.65852228711222
1.075,-1.62934104106459
1.125,-2.08951550615364
1.175,-2.08152355917596
1.225,-2.43255355483993
1.275,-2.30646229578426
1.325,-2.53255355483993
1.375,-2.33951550615364
1.425,-2.75749229144823
1.475,-2.43951550615364
1.525,-2.63564354183188
1.575,-2.78255355483993
1.675,-3.4846135461679
1.725,-3.5346135461679
1.775,-3.5846135461679
1.825,-3.15749229144823
1.875,-3.6846135461679
1.925,-3.25749229144823
1.975,-3.30749229144823
2.025,-3.8346135461679
2.075,-3.58358355050391
2.125,-3.9346135461679
2.175,-3.9846135461679
2.225,-4.0346135461679
2.375,-4.1846135461679
