binCenter,probDensity
-0.675,0.973356787517625
-0.375,0.159251966544793
-0.175,-0.476476603016645
-0.075,-0.219929279502832
0.025,-0.872771248160613
0.125,-0.641778029119189
0.175,-0.826476603016645
0.225,-1.21889928383885
0.275,-1.26889928383885
0.325,-1.17277124816061
0.375,-1.28971803779123
0.425,-1.21477930118293
0.475,-1.38971803779122
0.525,-1.51889928383885
0.575,-1.09177802911919
0.625,-1.84074803345521
0.675,-1.66889928383885
0.725,-1.63971803779122
0.775,-1.62277124816061
0.825,-1.73971803779123
0.875,-1.66477930118293
0.925,-2.01580929684691
0.975,-1.82277124816061
1.025,-1.81477930118293
1.075,-2.29074803345521
1.125,-2.21580929684691
1.175,-1.91362677873555
1.225,-2.31580929684691
1.275,-2.36580929684691
1.325,-2.17277124816061
1.375,-2.36889928383885
1.425,-2.51580929684691
1.475,-2.56580929684691
1.525,-2.51889928383885
1.575,-2.56889928383885
1.625,-3.31786928817487
1.675,-3.36786928817487
1.725,-2.81580929684691
1.775,-2.99074803345521
1.825,-2.91580929684691
1.875,-3.26683929251089
1.925,-3.31683929251089
1.975,-2.96889928383885
2.025,-3.01889928383885
2.075,-3.06889928383885
2.125,-3.03971803779123
2.175,-3.86786928817487
2.225,-3.91786928817487
2.275,-3.26889928383885
2.325,-4.01786928817487
2.425,-3.6407480334552
2.475,-3.69074803345521
2.525,-3.51889928383885
2.575,-3.96683929251089
2.625,-4.31786928817487
2.675,-4.06683929251089
2.925,-4.61786928817487
2.975,-4.66786928817487
3.025,-4.71786928817487
3.175,-4.86786928817487
