binCenter,probDensity
-0.675,1.3019343204381
-0.375,0.426787005068759
-0.175,-0.150689949655596
-0.075,-0.236390897344068
0.025,-0.561770515855557
0.125,-0.742728019928985
0.175,-0.929697843958821
0.225,-1.02599786361179
0.275,-1.20093660022009
0.325,-1.3215176745058
0.375,-1.38889177057522
0.425,-1.23699324791325
0.475,-1.70196659588407
0.525,-1.616303993884
0.575,-1.64561939502415
0.625,-1.69561939502415
0.675,-1.83501980625346
0.725,-1.86088612653674
0.775,-1.91088612653674
0.825,-2.18666516978153
0.875,-2.16411450263292
0.925,-2.30686855586981
0.975,-2.37805785493975
1.025,-2.45033424965091
1.075,-2.66514449829689
1.125,-2.87484534116441
1.175,-2.83769516544551
1.225,-2.84990660455611
1.275,-2.93769516544551
1.325,-3.02908785060373
1.375,-3.07908785060374
1.425,-3.43011784626771
1.475,-3.22484534116441
1.525,-3.27484534116441
1.575,-3.43398981058947
1.625,-4.02805785493975
1.675,-3.77702785927577
1.725,-4.12805785493975
1.775,-4.00196659588407
1.825,-3.83011784626771
1.875,-4.27805785493975
1.925,-4.02702785927577
1.975,-4.37805785493975
2.025,-4.72908785060373
2.075,-4.47805785493975
2.125,-4.82908785060374
2.175,-4.40196659588407
2.275,-4.97908785060373
2.375,-4.77805785493975
2.575,-5.27908785060373
2.975,-5.67908785060373
3.225,-5.92908785060373
