binCenter,probDensity
0.625,-1.16970708258618
0.675,-0.888713863544754
0.725,-0.968677086922196
0.775,-1.0186770869222
0.825,-1.21480512260044
0.875,-1.31056261316111
0.925,-1.41171513560849
0.975,-1.41056261316111
1.025,-1.3008617702936
1.075,-1.68665387221679
1.125,-1.73665387221679
1.175,-1.52341243744221
1.225,-1.76970708258618
1.275,-1.88665387221679
1.325,-1.81171513560849
1.375,-1.91970708258618
1.425,-2.33768386788077
1.475,-1.91056261316111
1.525,-2.91480512260044
1.575,-2.26583511826441
1.625,-2.41274513127247
1.675,-2.46274513127247
1.725,-2.81377512693645
1.775,-3.16480512260044
1.825,-2.51583511826442
1.875,-2.96377512693646
1.925,-2.61583511826442
1.975,-2.88768386788077
2.025,-2.93768386788077
2.125,-3.51480512260044
2.175,-3.56480512260043
2.225,-3.61480512260044
2.275,-3.06274513127247
2.325,-3.71480512260043
2.375,-3.46377512693646
2.425,-3.51377512693645
2.525,-3.91480512260043
2.575,-3.96480512260043
2.725,-3.81377512693646
