binCenter,probDensity
0.625,-0.926974767444298
0.675,-0.830846731766059
0.725,-1.0269747674443
0.775,-1.17388478045235
0.825,-1.22388478045235
0.875,-1.27388478045235
0.925,-1.32388478045235
0.975,-1.19779352139667
1.025,-1.54882351706066
1.075,-1.59882351706065
1.125,-1.52388478045235
1.175,-2.17594477178032
1.225,-1.92491477611633
1.275,-1.97491477611634
1.325,-1.84882351706065
1.375,-2.07491477611634
1.425,-2.42594477178031
1.475,-2.17491477611633
1.525,-2.04882351706066
1.575,-1.97388478045235
1.625,-2.62594477178032
1.675,-2.19882351706065
1.725,-2.42491477611633
1.775,-2.77594477178032
1.925,-2.92594477178031
1.975,-2.97594477178031
2.025,-3.02594477178031
2.125,-3.12594477178032
2.175,-3.17594477178031
2.225,-2.92491477611634
2.525,-3.52594477178031
2.575,-3.27491477611633
2.675,-3.67594477178031
