ndviM,elevation,slope,vs,vd,ppt,tmean,vpdmax,tmin,tmax,ignition
NaN,829.450703672829,10.3874599433583,2.5,268.6,479.7706247621,29.9672516584396,61.2481564283371,20.2699999213219,39.665656208992,0
NaN,1318.67785228252,21.2172621554349,1.8249999583,77,465.7069992858,24.7810010910034,36.2956666946411,17.2154165903727,32.3475001653036,0
NaN,1495.34385739643,10.9454743599391,2.900204222,225.0085136128,289.5720884878,23.6954067880257,40.7034874739167,14.5115989683525,32.8806063112435,NaN
NaN,1113.89098607722,21.4602610139251,2.3353603692,250.1031131434,463.763803496,21.9881674275996,38.4428723554162,12.0957712176448,31.8812626348452,1
NaN,488.480841746746,19.1271070085721,2.7033375609,256.8498119431,781.5017202011,32.9679404700335,67.7677217513116,24.2960854121181,41.6407308520797,0
NaN,228.727956254272,14.8011349685393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
NaN,1709.3821656051,18.8603231455954,5.5646616608,227,454.4978644697,15.4695649561298,22.9450868024239,7.41796400341228,23.5219924348365,1
NaN,630.372020075282,4.33603994903555,2.7179671488,14.2576982779,458.5494281352,29.8828985586946,60.52596149038,20.0792698294221,39.687127347476,1
NaN,570.732701494837,18.5920040076666,1.6333333651,200.3333333333,272.8190002184,21.7550009727478,28.7016497611999,14.938850069046,28.5720002174377,NaN
NaN,172.577046963853,12.8321569466817,5.4719196946,299,191.4554492324,19.0479156752646,23.4175784325796,13.3551827009623,24.7417744689832,1
NaN,717.672798249246,24.0551869484377,1.7073847868,188.9898302771,281.7066393405,21.5841896168776,32.123568882028,13.5729030499293,29.5965729324589,NaN
NaN,520.901185244373,21.3579777884097,1.6096190269,148,260.8163217485,10.6758634421731,10.6504735333403,5.11480571071583,16.2377715534654,NaN
NaN,917.836977186312,14.3756512996466,2.0467030793,318.4752763735,624.8204932822,21.3577936765828,49.9360253999277,6.80532954522983,35.9114019973096,1
NaN,686.825313807531,17.6817470592352,4.4964890608,28.9234454104,442.3933014182,11.2719288311557,14.0905522018625,5.27069612883056,17.2736796755032,1
NaN,1085.96124901555,9.74209760166536,3.5,237.3125,953.5905013671,26.0731799261911,47.6646427427019,17.1613571814128,34.9861069406782,1
NaN,702.684748260997,16.7283616079895,2.3800000668,336.6,624.1796689241,29.5037514368693,56.0466664632162,20.1543332735697,38.8542496363322,1
NaN,578.687735866595,19.1657718565564,4.8000000318,323,573.1571206613,25.970819479319,49.6597650847166,15.5388741451262,36.4037434576995,1
NaN,46.4806744625876,2.32689935044048,6.4929476231,339.1319134073,612.4970977043,23.3232873168983,34.4650612215229,15.0415074759481,31.6060865419562,1
NaN,517.251917482148,22.7901990757799,3.3935853937,328,666.8295319888,23.6906601659558,44.185103571518,12.9602810199501,34.4224318018878,1
NaN,676.568830533355,18.9302490518953,1.2000000477,203,627.4991750372,30.4806844514472,50.3611635573073,23.485959079545,37.4762959826376,1
NaN,515.659915214319,15.5789373829126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,274.190264008021,18.4649595158183,4.1597269485,335.9279348926,1226.3634369236,20.2625852138635,36.7886982145861,9.21776589602601,31.3082246728854,NaN
NaN,1009.50883462378,6.98659481187176,2.5768730706,240.0888930852,356.9426447368,20.3434100888491,42.5967656858487,7.45367897946532,33.2343224484217,1
NaN,274.870310825295,12.5447658002824,3.2857234178,41,794.0040070008,24.7993297786062,37.1272723904396,16.1964500193101,33.4033817947227,1
NaN,229.787353629977,17.6766864659287,3.9123535282,164.1235344466,821.5859983003,26.2322511672974,48.0515003204346,16.8492503166199,35.6160001754761,NaN
NaN,1094.41936339523,7.38501462798852,4.6170931558,250.170932675,322.1635893214,17.0360994064861,30.1432257008873,5.59699009716537,28.4767030990102,1
NaN,518.559139784946,10.1408485382315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
